id,date,time,trading_hour,vol,vol_bucket,spot,target,target_move_pct,direction,target_hit,days_to_target,min_hit,days_to_min,max_profit_pct,days_to_max
198,2025-08-05,13:51:31,AH,1200,1000-2000,308.72,403.04,30.55195646540554,Bullish,0,,1,1.0,64.58172454003626,99
199,2025-08-05,13:50:54,AH,80,50-100,308.72,410.45,32.952189686447255,Bullish,0,,1,1.0,64.58172454003626,99
200,2025-08-05,14:05:52,AH,40,20-49,308.72,413.37,33.8980305778699,Bullish,0,,1,1.0,64.58172454003626,99
201,2025-08-05,14:04:31,AH,160,100-499,306.95,414.57,35.06108486724223,Bullish,0,,1,1.0,65.53077048379215,99
202,2025-08-05,13:46:39,AH,60,50-100,308.72,415.95,34.73373931070224,Bullish,0,,1,1.0,64.58172454003626,99
203,2025-08-05,13:45:51,AH,40,20-49,307.09,451.88,47.14904425412747,Bullish,0,,1,1.0,65.4553062620079,99
204,2025-08-05,14:12:40,AH,60,50-100,308.72,459.48,48.83389479139672,Bullish,0,,1,1.0,64.58172454003626,99
205,2025-08-05,13:57:27,AH,60,50-100,308.72,483.21,56.520471624773236,Bullish,0,,1,1.0,64.58172454003626,99
230,2025-08-04,13:59:29,AH,100,50-100,309.47,288.94,6.633922512682982,Bearish,0,,0,,1.2828384011374372,0
231,2025-08-04,13:58:08,AH,30,20-49,309.47,290.37,6.171842181794688,Bearish,0,,0,,1.2828384011374372,0
232,2025-08-04,13:53:52,AH,200,100-499,309.43,290.97,5.965808098762233,Bearish,0,,0,,1.2700772387939137,0
233,2025-08-04,13:49:06,AH,400,100-499,309.26,291.41,5.771842462652773,Bearish,0,,0,,1.2158054711246171,0
234,2025-08-04,13:49:22,AH,280,100-499,309.26,296.49,4.129211666558877,Bearish,0,,0,,1.2158054711246171,0
235,2025-08-04,05:58:40,PM,1,<10,309.97,298.54,3.6874536245443124,Bearish,0,,0,,1.4420750395199622,0
236,2025-08-04,13:50:09,AH,85,50-100,309.43,323.28,4.47597194842128,Bullish,1,0.0,1,0.0,64.2040849303558,0
237,2025-08-04,14:08:54,AH,17,10-19,309.65,323.32,4.41466171483934,Bullish,1,0.0,1,0.0,64.08742128209269,0
238,2025-08-04,13:55:23,AH,50,50-100,309.47,323.46,4.520632048340696,Bullish,1,0.0,1,0.0,64.18286102045431,0
239,2025-08-04,13:49:43,AH,75,50-100,309.26,324.22,4.837353682985202,Bullish,1,0.0,1,0.0,64.29434779796935,0
240,2025-08-04,13:55:52,AH,72,50-100,309.47,328.84,6.25908811839595,Bullish,1,0.0,1,0.0,64.18286102045431,0
241,2025-08-04,13:55:57,AH,25,20-49,309.47,329.65,6.520825928199808,Bullish,1,0.0,1,0.0,64.18286102045431,0
242,2025-08-04,14:02:49,AH,10,10-19,309.7,331.04,6.89053923151438,Bullish,1,0.0,1,0.0,64.06092993219245,0
619,2025-08-06,08:53:56,RTH,10,10-19,317.99,293.94,7.563130916066546,Bearish,0,,0,,1.066069340697627,10
620,2025-08-06,14:12:41,AH,30,20-49,319.91,301.66,5.7047294551592636,Bearish,0,,0,,1.6598399226296146,10
