date,period,mw_side,trade_side,net_vol,big_count,total_count,time,is_dp,side,hourly_close,daily_close,hit,max_win_pct,days_to_hit,es_start,es_target,late_hit,days_to_late,days_to_max_40d,mue_pre_hit,mue_pre_late,vol_bucket
2025-07-24,RTH,Sell,Buy,550000,0,1,12:02:16.148000,0,Buy,305.07000732421875,305.07000732421875,1.0,0.41897540928420457,2.0,304.6,319.83000000000004,0,,40,0.00131319763624418,,500k-1M
2025-07-25,RTH,Buy,Buy,1000000,1,1,08:53:19.335000,0,Buy,323.2900085449219,323.2900085449219,1.0,0.34921151761501085,12.0,320.35,336.36750000000006,0,,39,-0.0703293044350906,,500k-1M
2025-07-28,RTH,Buy,Sell,545049,0,1,10:50:59.600000,0,Sell,326.989990234375,326.989990234375,1.0,0.0936976740689001,3.0,328.61,312.1795,0,,5,-0.002603714705739665,,500k-1M
2025-07-28,RTH,Sell,,400000,0,1,10:29:02.382000,0,Sell,326.989990234375,326.989990234375,1.0,0.09095901555393826,4.0,327.62,311.239,0,,5,-0.005633376135318724,,100k-500k
2025-07-28,RTH,Buy,Sell,545000,0,1,10:50:59.611000,1,Sell,326.989990234375,326.989990234375,1.0,0.0936976740689001,3.0,328.61,312.1795,0,,5,-0.002603714705739665,,500k-1M
2025-07-29,RTH,Buy,,462501,0,1,08:30:24.100000,0,Buy,320.5539855957031,320.5539855957031,1.0,0.39191056622357795,10.0,319.69,335.6745,0,,39,-0.06840999929863695,,100k-500k
2025-07-29,RTH,Buy,,462300,0,1,08:30:24.113000,0,Buy,320.5539855957031,320.5539855957031,1.0,0.39191056622357795,10.0,319.69,335.6745,0,,39,-0.06840999929863695,,100k-500k
2025-07-29,RTH,Sell,Sell,700000,0,1,12:56:08.339000,0,Sell,321.3999938964844,321.3999938964844,1.0,0.07273177867794152,4.0,321.18,305.121,0,,4,-0.01018086473852277,,500k-1M
2025-07-30,RTH,Sell,,400000,0,1,12:32:16.907000,0,Buy,319.0400085449219,319.0400085449219,1.0,0.40856537911435403,8.0,315.91,331.70550000000003,0,,38,-0.05726312138197991,,100k-500k
2025-08-01,RTH,Sell,,450000,0,1,09:44:06.776000,0,Sell,303.23638916015625,303.23638916015625,0.0,0.01553046884578845,,305.85,290.5575,0,,1,,,100k-500k
2025-08-01,RTH,Buy,Buy,925000,0,1,10:48:11.526000,0,Buy,303.29998779296875,303.29998779296875,1.0,0.4630277459017447,4.0,304.15,319.3575,0,,36,-0.010027926669355097,,500k-1M
2025-08-01,RTH,Sell,Buy,500000,0,1,11:22:51.350000,0,Buy,301.9800109863281,301.9800109863281,1.0,0.4714943416534909,4.0,302.4,317.52,0,,36,-0.004298921615358308,,100k-500k
2025-08-01,RTH,Sell,Buy,750000,0,1,12:32:11.147000,0,Buy,302.6099853515625,302.6099853515625,1.0,0.473638524692064,4.0,301.96,317.058,0,,36,-0.0028480391326147656,,500k-1M
2025-08-06,RTH,Sell,Buy,1000000,1,1,08:44:17.803000,0,Buy,317.2049865722656,317.2049865722656,1.0,0.44968487109950733,3.0,318.89,334.8345,0,,40,-0.008560934296750013,,500k-1M
2025-08-07,RTH,Sell,Buy,1000000,1,1,09:15:09.843000,0,Buy,318.3900146484375,318.3900146484375,1.0,0.47136963180596364,3.0,319.94,335.937,0,,40,-0.01181470381287311,,500k-1M
2025-08-07,RTH,Buy,Buy,550000,0,1,09:30:17.443000,0,Buy,318.3900146484375,318.3900146484375,1.0,0.467836986685791,3.0,320.71,336.7455,0,,40,-0.01418726057151509,,500k-1M
2025-08-07,RTH,Buy,Buy,550000,0,1,09:30:17.400000,0,Buy,318.3900146484375,318.3900146484375,1.0,0.467836986685791,3.0,320.71,336.7455,0,,40,-0.01418726057151509,,500k-1M
2025-08-08,RTH,Sell,,400000,0,1,09:14:01.003000,0,Sell,328.6600036621094,328.6600036621094,1.0,0.05046478901510434,9.0,331.32,314.75399999999996,0,,9,-0.05330197689945712,,100k-500k
2025-08-15,AH,Buy,Buy,826139,0,1,13:34:24.783000,0,Buy,333.69500732421875,333.69500732421875,1.0,0.4240984995159729,6.0,330.56,347.088,0,,33,-0.04828168531124267,,500k-1M
2025-08-15,RTH,Sell,,462300,0,1,07:42:43.441000,0,Buy,332.9057922363281,332.9057922363281,1.0,0.41578947368421054,7.0,332.5,349.125,0,,34,-0.05383456810972744,,100k-500k
2025-08-15,RTH,Buy,Buy,800000,0,1,11:58:48.652000,0,Buy,329.05999755859375,329.05999755859375,1.0,0.4286798179059181,7.0,329.5,345.975,0,,34,-0.04522001182544575,,500k-1M
2025-08-15,RTH,Buy,Buy,800000,0,1,11:58:48.718000,0,Buy,329.05999755859375,329.05999755859375,1.0,0.4286798179059181,7.0,329.5,345.975,0,,34,-0.04522001182544575,,500k-1M
2025-08-18,AH,Buy,Sell,500000,0,1,13:00:06.001000,1,Sell,338.75,338.75,1.0,0.06134381756917412,2.0,335.16,318.402,0,,2,-0.016081834923525256,,100k-500k
2025-08-18,AH,Buy,Sell,500000,0,1,13:00:06,0,Sell,338.75,338.75,1.0,0.06134381756917412,2.0,335.16,318.402,0,,2,-0.016081834923525256,,100k-500k
2025-08-18,RTH,Buy,Sell,606000,0,1,09:59:20.294000,0,Sell,334.76251220703125,334.76251220703125,1.0,0.05729352120485557,3.0,333.72,317.034,0,,3,-0.020466222560735714,,500k-1M
2025-08-18,RTH,Buy,Sell,606012,0,1,09:59:20.200000,0,Sell,334.76251220703125,334.76251220703125,1.0,0.05729352120485557,3.0,333.72,317.034,0,,3,-0.020466222560735714,,500k-1M
2025-08-19,AH,Buy,,484752,0,1,13:32:58.116000,1,Sell,317.3399963378906,317.3399963378906,0.0,0.044669138187374745,,329.31,312.8445,0,,1,,,100k-500k
2025-08-19,AH,Buy,,484752,0,1,13:32:58.100000,0,Sell,317.3399963378906,317.3399963378906,0.0,0.044669138187374745,,329.31,312.8445,0,,1,,,100k-500k
2025-08-20,PM,Buy,,432907,0,1,06:17:59.100000,0,Sell,317.3399963378906,317.3399963378906,0.0,0.044669138187374745,,329.31,312.8445,0,,1,,,100k-500k
2025-08-22,AH,Buy,Buy,770334,0,1,13:30:00,1,Sell,340.82000732421875,340.82000732421875,0.0,0.04238108848705734,,340.01,323.0095,0,,6,,,500k-1M
2025-08-22,AH,Buy,Buy,770329,0,1,13:30:00,0,Sell,340.82000732421875,340.82000732421875,0.0,0.04238108848705734,,340.01,323.0095,0,,6,,,500k-1M
